household_key,age_encoded,income_encoded,household_size_encoded,kid_category_encoded,recency,frequency,monetary,retail_discount_mean,retail_discount_usage_proportion,retail_discount_no_usage_proportion,coupon_discount_mean,coupon_discount_usage_proportion,coupon_discount_no_usage_proportion,did_not_receive_campaign_and_no_coupons_proportion,received_campaign_and_16_coupons_proportion,received_campaign_and_all_coupons_proportion,afternoon_proportion,evening_proportion,midnight_proportion,morning_proportion,night_proportion,national_proportion,private_proportion,alcohol_proportion,deli & bakery_proportion,entertainment & leisure_proportion,general_grocery_proportion,health_personal_care_proportion,home & lifestyle_proportion,meat_proportion,miscellaneous & services_proportion,produce_proportion,seafood_proportion
1,2.0,-0.3333333333333333,0.0,0.0,0.4898609098412687,-0.6210993362659698,-0.08720297899327613,-0.5493380485177983,-0.4590208753143563,0.45902087531435565,1.5837705377553517,1.1203072795257907,-1.1203072795257898,-0.12977451591972466,-0.1380956285464812,0.07820628354732147,1.29276578836386,0.6340630255321159,0.1396773893480981,1.5602895229408202,-3.8649997411890973,1.5019357484488753,-1.5019357484488736,0.04140435970241286,1.2773852509508004,0.053772821114652654,0.8957168133419587,0.9509634039583121,0.09020323246399733,0.7240570054306484,0.5115978790200706,0.9324038051313978,-3.6218805239251073
7,0.0,0.0,0.0,0.0,0.0,-1.1366848115324055,-0.3583938188173377,-0.7374200514993469,-0.42094437915151867,0.420944379151518,0.8231668218902456,0.57275072152528,-0.5727507215252793,0.008514385464619611,-0.6135122634735736,0.08373243313363077,0.36509217092637325,0.2730076741812708,-0.13988376781452544,-0.6674864314149874,1.0441677053696492,-0.8032405381407568,0.8032405381407566,-0.06842229498828348,0.25071419424355096,-0.05731851258727972,0.36772604839484735,0.8471786745999417,0.04333917934846896,0.057965793437696346,-0.23808165734516942,0.4454382556017362,-0.49510706318912595
8,-2.0,-0.6666666666666666,0.5,1.0,0.4898609098412687,-0.26300620091014115,0.19263761388671294,0.21629188162430674,0.1278966688320284,-0.12789666883202866,0.053111948233241814,0.29876758765135614,-0.2987675876513556,-0.14711865925609555,-0.16446256896114705,0.09325992476628092,-0.19094596653341028,0.13197329315925072,-0.21278522139805583,0.38538393429367357,0.8148669923310695,0.3099492140370672,-0.30994921403706727,1.1898800418433568,-0.5786245285645972,-0.28934155078734264,-0.6350650931439957,-0.699946702115385,0.1963789698195201,-0.6163717240433905,-0.6114741135014589,-0.7544898467559827,-0.2685444974239487
13,-2.0,0.3333333333333333,1.0,2.0,0.0,0.8156173462036463,1.2204118634647183,0.7961875125875051,0.19822244511842,-0.19822244511842038,1.6628480417186307,1.516420047771796,-1.5164200477717953,-0.18385207213406293,-0.10169126742822478,0.10342217076098677,-0.8282894269098278,-0.5692944906498796,0.7820337633086692,-0.3531583972833895,-0.3131821004315319,-0.1815999217714707,0.18159992177147102,-0.12986601386019814,-0.5735500998159241,-0.11946976991466716,0.07765250194302314,0.6265712157710999,0.15636752450937028,-0.4185115131243922,1.2152989910440684,-0.4260071257936696,-0.04951143469236555
16,0.0,0.0,-0.5,0.0,1.1925126216127617,-0.44817372733203525,-1.2357091399095814,-1.0559142512346966,-1.2738962569675836,1.2738962569675825,-0.3002523855330416,-0.6078776497528754,0.6078776497528752,0.11538449318472965,-0.9684302346045935,0.08571676720147875,1.1461290005480578,0.8138664161407574,0.12696118765191974,1.6183626044041564,-3.9081886446258465,0.4923821353129792,-0.4923821353129788,0.1525640951253797,2.0713515556259035,0.16621258627793978,1.4150262979073989,1.0865913954212552,-0.8644910565590355,1.1657219304981243,1.2382015929798909,1.4014722926011052,-3.3207178619506754
17,2.0,-1.3333333333333333,0.0,0.0,1.2124284268830654,-0.14411857852419363,0.10767448855072473,1.698975978064864,-0.2765394577807197,0.27653945778071987,-0.3002523855330416,0.187358187256866,-0.18735818725686595,0.8534014911142856,3.2080430251748906,-1.114166283803726,1.1598434759677665,0.9535902010524245,0.12417783327670574,1.502194487317534,-3.9176419409963734,-0.5141540240491874,0.5141540240491875,-0.027331738915419387,-0.4358027070051992,-0.01575478937687765,0.4852609825584778,0.5584332753558151,-1.0210821405471158,0.9874842419031431,1.1879330155255976,0.7967924704559215,1.1557901582755186
18,0.0,0.6666666666666666,0.0,0.0,-0.9931804349253506,0.19731618076964394,0.4843519635002015,0.008402506115942244,-0.38817895062235325,0.3881789506223533,1.455114596571685,0.9403299446295551,-0.9403299446295547,0.09336839248621329,0.5490916544109217,-0.17918484044405214,0.954469142833915,-0.17643047278031584,-0.01206829341562927,0.7502275318477626,-1.233289608979938,0.20827945425693453,-0.2082794542569347,-0.023618430331686403,0.8455156986732176,-0.011998721196748732,0.5622173116998982,0.04692144417771767,-1.0178498755010164,-0.28528486832353733,0.9932279758613461,1.2668575656060401,1.2714800522107181
19,-1.0,-1.0,-0.5,0.0,-0.9931804349253506,1.2867426668311708,1.0328536426462327,0.6657044388758344,1.0710872051407792,-1.0710872051407783,0.1219472795298091,-0.12382450649392086,0.12382450649392036,-0.20013607971070907,-0.1563201913028784,0.12302599745405027,0.1964554533193994,0.2586151066167821,-0.1683276289978706,0.31971719891137224,0.19175552034774584,0.003630786227637648,-0.0036307862276370117,-0.2441998664285456,-0.6834013270528477,0.9297821761320771,-0.35118149291350365,-1.4318841622675824,0.058614618270962496,0.07876539690171697,0.15730935514518782,-0.6852881722617652,-0.019068116329368848
20,-2.0,0.3333333333333333,0.0,0.0,-0.9931804349253506,1.1958117331614997,0.5432417392428243,-0.5828949749318509,-0.11462618523091941,0.1146261852309193,0.8419707781612871,0.41035098767526007,-0.4103509876752599,-0.0966025691326174,-0.028223595749808122,0.038530108227773315,-0.38119694987279307,-0.585654947316362,0.9607751500346013,-0.5502757274445023,-1.1624970877742273,-0.9679760154592115,0.9679760154592117,0.004518527189205658,1.1197075024262906,0.0164622398159817,0.7309049075911344,0.5629786111941847,-0.9933579427010392,1.0078612348916047,1.2824639057018965,-0.14470097555941397,0.17756323130310928
22,0.0,0.3333333333333333,0.0,0.0,-0.9931804349253506,-0.027365067092622108,0.33397056176983314,-0.04176072595532258,-0.5106583945070794,0.5106583945070788,1.0228682227364663,0.8713592630517589,-0.8713592630517586,-0.10066746257845126,0.15048467342193572,0.008202398305297759,0.633296415970433,0.05009112701185085,-0.10471899730256046,0.16727135329399875,-0.11615969941860904,0.5614760803513551,-0.561476080351354,0.9336101559789379,-0.11454985949914429,-0.2759915941949933,-0.6617461588045016,-1.0692787079765593,-0.0030394613487342774,-0.6154818131023256,0.2845024435226461,-0.17402553128970294,-0.13486744338671028
